"description","category","subcategory","merchant","amount","is_expense"
"Acupuncture session","Health & Fitness","Alternative Medicine","HealthX Africa",907.16,1
"Movers","deposit paid","Housing & Home Expenses","Moving & Relocation,Diamond Trust Bank Kenya",523.9,1
"Navient auto-debit","Education & Learning","Student Loans Repayment","ShuleSoft",799.79,1
"Data overage charge","Utilities","Mobile Phone Bills","Kenya Private Sector Alliance (KEPSA)",40.48,1
"Fitness center renewal","Health & Fitness","Gym Memberships","Coast General Teaching & Referral Hospital",251.06,1
"Landscaping & Gardening purchase","Housing & Home Expenses","Landscaping & Gardening","APA Insurance",988.42,1
"Books & Educational Materials purchase","Education & Learning","Books & Educational Materials","The Co-operative University of Kenya",955.85,1
"Pet Supplies purchase","Shopping","Pet Supplies","Bata",161.64,1
"Dog food bag","Shopping","Pet Supplies","Kakamega Mega Mall",399.86,1
"Sales team incentive","Income & Earnings","Bonuses & Commissions","Land Leasing",907.03,1
"Leather belt","Shopping","Clothing & Accessories","The Village Market",792.13,1
"Compact car rental","Travel & Vacation","Car Rentals","Nahdy Travel & Tours Limited",416.04,1
"SUV weekly rental","Transportation","Vehicle Leasing & Rentals","ADIL Transporters Limited",377.37,1
"Notebooks and pens","Education & Learning","School Supplies","Bridge International Academies",710.69,1
"Initial consultation fee","Legal & Professional Services","Lawyer Fees","Mboya Wangong’u & Waiyaki Advocates",638.09,1
"Card annual fee","Financial Expenses","Credit Card Annual Fees","U&I Microfinance Bank",594.19,1
"Sales team bonus","Income & Earnings","Bonuses & Commissions","Gifts Received",614.79,1
"ER visit","Health & Fitness","Medical Bills","Body By Alison Caroline",369.46,1
"Auto insurance payment","Financial Expenses","Insurance Premiums","Kenya Deposit Insurance Corporation",138.99,1
"Building permit renewal","Legal & Professional Services","Licensing & Permits","KTA Advocates Kenya",33.53,1
"Adobe Creative Cloud","Business & Work Expenses","Software & SaaS Subscriptions","GoDaddy Kenya",527.84,1
"Notebooks and pens","Education & Learning","School Supplies","Rosslyn Academy",380.33,1
"Latte and bagel","Food & Dining","Cafés & Coffee Shops","Talisman Restaurant",24.88,1
"Subway fare card","Transportation","Public Transit","City Shuttle",771.2,1
"Acrylic paint set","Shopping","Hobby & Craft Supplies","Uniqlo",392.09,1
"Board game","Childcare & Parenting","Kids' Toys & Games","Kenya Association of Professional Nannies",224.21,1
"Weekend scooter hire","Transportation","Bike & Scooter Rentals","Kenya Ferry Services",46.82,1
"Metallica show tix","Leisure & Entertainment","Concerts & Live Events","Koroga Festival",39.37,1
"Fidos vacation stay","Pets & Animal Care","Pet Boarding & Sitting","Kenya Aquatics & Pet Store",703.47,1
"Eiffel Tower Keychain","Travel & Vacation","Souvenirs & Gifts from Travel","Origins Safaris",548.13,1
"Deep tissue massage","Health & Fitness","Wellness & Spa Treatments","KANA GOAT MILK PRODUCTS",722.76,1
"School Book Drive","Gifts & Donations","Fundraisers & Contributions","ActionAid Kenya",278.81,1
"Sink plumbing fixed","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",796.0,1
"Downtown hotel stay","Travel & Vacation","Hotels & Lodging","Wilderness Inquiry",409.75,1
"Termite inspection service","Housing & Home Expenses","Pest Control","Riley Services Ltd",261.97,1
"Adobe Creative Cloud","Business & Work Expenses","Software & SaaS Subscriptions","National Social Security Fund (NSSF)",20.88,1
"Clothing & Accessories purchase","Shopping","Clothing & Accessories","H&M",279.51,1
"Parking Fees purchase","Transportation","Parking Fees","Kenya Urban Roads Authority",364.82,1
"Leaky faucet fixed","Housing & Home Expenses","Home Maintenance & Repairs","Odds and Ends Furniture",230.78,1
"Latte and pastry","Food & Dining","Cafés & Coffee Shops","Peppertree",13.85,1
"Deodorant and floss","Personal Care & Grooming","Personal Hygiene Products","Salon Malik Kenya",841.63,1
"Fall semester tuition","Education & Learning","Tuition Fees","Ubongo Kids",295.27,1
"401k contribution","Financial Expenses","Retirement Savings","Absa Bank Kenya",282.63,1
"School bake sale","Gifts & Donations","Fundraisers & Contributions","Hope Worldwide Kenya",844.74,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",674.1,1
"Delta flight change","Transportation","Airfare & Flights","Chevron",996.74,1
"Apt. power bill","Utilities","Electricity","Kenya Plant Health Inspectorate Service (KEPHIS)",993.79,1
"Apartment rental","Housing & Home Expenses","Rent","Amaco Insurance",260.36,1
"Eiffel Tower keychain","Travel & Vacation","Souvenirs & Gifts from Travel","Jamii Tours & Travel Ltd",948.03,1
"GRE registration fee","Education & Learning","Test Preparation & Exams Fees","Technical University of Kenya",426.28,1
"Hamilton tickets","Leisure & Entertainment","Theater & Performing Arts","Kenya Film Classification Board",827.53,1
"Fade and beard","Personal Care & Grooming","Haircuts & Barber Services","The Blow Dry Bar",487.55,1
"GRE registration fee","Education & Learning","Test Preparation & Exams Fees","GEMS Cambridge International School",534.15,1
"Vehicle Leasing & Rentals purchase","Transportation","Vehicle Leasing & Rentals","Careem",495.35,1
"Gym Memberships purchase","Health & Fitness","Gym Memberships","Alpha Fit Gym",649.41,1
"Emergency Expenses purchase","Miscellaneous & Unexpected Expenses","Emergency Expenses","Legal Fees",131.67,1
"Nelnet payment","Education & Learning","Student Loans Repayment","Mkuki na Nyota Publishers",921.53,1
"Guided city walk","Travel & Vacation","Tours & Excursions","Sunworld Safaris",429.09,1
"Accent pillow cover","Shopping","Home Decor & Furnishings","Nakumatt Cinemax",102.67,1
"Auto insurance","Financial Expenses","Insurance Premiums","Cooperative Bank",643.7,1
"Premium unleaded fill-up","Transportation","Fuel & Gasoline","Renault Trucks Africa",891.8,1
"NYC flight","Transportation","Airfare & Flights","Transami (K) Ltd.",985.93,1
"Textbook purchase","Education & Learning","Books & Educational Materials","International Christian Kindergarten",39.11,1
"Termite inspection fee","Housing & Home Expenses","Pest Control","Lloyd Masika Limited",837.95,1
"Birthday flowers to Mom","Gifts & Donations","Personal Gifts","Médecins Sans Frontières (Doctors Without Borders)",580.9,1
"Software license fee","Income & Earnings","Royalties & Licensing Income","Investment Income",808.57,1
"Imported truffle oil","Food & Dining","Specialty Foods","Diamond Beach Village Restaurant",926.66,1
"Building permit fee","Legal & Professional Services","Licensing & Permits","Personal Injury & Accident Lawyers Kenya",906.28,1
"Home loan pymt","Housing & Home Expenses","Mortgage Payments","Tile & Carpet Centre",253.08,1
"Delta flight ticket","Transportation","Airfare & Flights","Matatu Owners Association",560.89,1
"Liability premium paid","Business & Work Expenses","Business Insurance","Kenya National Innovation Agency",285.42,1
"Pizza delivery driver","Gifts & Donations","Tips & Gratuities","Giraffe Centre Community Outreach",582.83,1
"Roundtrip to Cancun","Travel & Vacation","Flights","Jambojet",793.11,1
"PMP exam fee","Education & Learning","Professional Certifications","Bookstop Yaya",468.44,1
"Deodorant and soap","Personal Care & Grooming","Personal Hygiene Products","Neutrogena Kenya",43.76,1
"Parking violation fee","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",728.39,1
"Birthday flowers mom","Gifts & Donations","Personal Gifts","World Vision",954.91,1
"Lash refill","Personal Care & Grooming","Salons & Beauty Treatments","Salon Malik Kenya",619.88,1
"Chew toy refill","Pets & Animal Care","Pet Toys & Accessories","Pet Grooming Hub Nairobi",687.85,1
"Blue Apron order","Food & Dining","Meal Kits & Subscriptions","Fogo Gaucho Westlands",888.16,1
"Santal 33","Personal Care & Grooming","Perfumes & Fragrances","Manetain Organics",251.9,1
"Arcade game tokens","Leisure & Entertainment","Amusement Parks & Arcades","Safaricom International Jazz Festival",545.62,1
"Dog walking gig","Income & Earnings","Side Hustle Earnings","Freelance Income",226.72,1
"Pediatrician visit co-pay","Childcare & Parenting","Children's Health & Medical Care","Johnson's Baby Kenya",899.63,1
"Pottery class fee","Education & Learning","Workshops & Seminars","Ekitabu",376.06,1
"Fitness Classes purchase","Health & Fitness","Fitness Classes","Penda Health",351.43,1
"Sons school fees","Childcare & Parenting","School Fees & Tuition","Montessori Learning Centre Nairobi",417.55,1
"SAT registration fee","Education & Learning","Test Preparation & Exams Fees","Kenya National Library Services",303.78,1
"Curbside pickup fee","Utilities","Waste Management & Recycling","Kenya Railways Corporation",349.91,1
"Sisters Christmas present","Gifts & Donations","Holiday Gifts","Sheldrick Wildlife Trust",872.12,1
"Weekly temple offering","Gifts & Donations","Religious Donations","Africa Cancer Foundation",711.37,1
"Investment consultation fee","Legal & Professional Services","Financial Advisors","Kenya Institute of Management (KIM)",531.6,1
"Lipstick shade ruby","Personal Care & Grooming","Skincare & Cosmetics","Zoe Skincare",756.38,1
"Dogs annual checkup","Pets & Animal Care","Veterinary Bills & Pet Insurance","The Pet Boutique Kenya",671.38,1
"Printer ink","Business & Work Expenses","Office Supplies","National Bank SME Banking",535.82,1
"Daily multivitamin pack","Health & Fitness","Supplements & Vitamins","MP Shah Hospital",785.14,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",547.79,1
"Model train set","Leisure & Entertainment","Hobbies","Goethe-Institut Kenya",919.59,1
"Pizza and wings","Food & Dining","Takeout & Delivery","Manda Bay Resort Restaurant",910.6,1
"Spicy chicken sandwich","Food & Dining","Fast Food","Kijani Hotel Restaurant",1759.9,1
"Latte and pastry","Food & Dining","Cafés & Coffee Shops","The Dhow House",941.87,1
"Childrens Health & Medical Care purchase","Childcare & Parenting","Children's Health & Medical Care","Fun & Learning Apps for Kids Kenya",936.64,1
"Internet Service purchase","Utilities","Internet Service","Kenya Revenue Authority (KRA)",738.79,1
"Haircuts & Barber Services purchase","Personal Care & Grooming","Haircuts & Barber Services","O’Bao African Skincare",576.92,1
"Passport renewal fee","Travel & Vacation","Visa & Passport Fees","Ker & Downey Safaris",732.88,1
"Knee rehab session","Health & Fitness","Physical Therapy","Walgreens",541.8,1
"Historical fiction novel","Leisure & Entertainment","Books & Magazines","Kiss FM Kenya",828.98,1
"Deep tissue massage","Health & Fitness","Wellness & Spa Treatments","St. Scholastica Uzima Hospital",267.56,1
"Cold & flu","Health & Fitness","Over-the-Counter Medicines","Nairobi Women's Hospital",975.16,1
"Fall semester fees","Education & Learning","Tuition Fees","International Christian Kindergarten",288.55,1
"Mortgage principal paid","Financial Expenses","Loan Repayments","Tala",215.3,1
"Deep tissue massage","Personal Care & Grooming","Spas & Massages","Bio Oil Kenya",353.89,1
"Apartment rent","Housing & Home Expenses","Rent","GA Insurance Limited",652.27,1
"Ant spray refill","Housing & Home Expenses","Pest Control","Crown Paints Kenya Plc",363.91,1
"Birthday flowers","Income & Earnings","Gifts Received","YouTube Ad Revenue",532.63,1
"Blue Apron delivery","Food & Dining","Meal Kits & Subscriptions","Nyama Mama",856.15,1
"New brake pads","Transportation","Car Maintenance & Repairs","Rongai Workshop & Transport Ltd.",17.8,1
"Home internet bill","Utilities","Internet Service","Internet Solutions Kenya",166.07,1
"Quarterly estimated payment","Financial Expenses","Taxes","Development Bank of Kenya",169.79,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",157.26,1
"Deep tissue massage","Personal Care & Grooming","Spas & Massages","Tony Airo Salon",210.01,1
"Alarm monthly fee","Housing & Home Expenses","Home Security Systems","Bestcare Services Kenya",749.33,1
"Low balance fee","Financial Expenses","Bank Fees","Allianz",757.94,1
"Margarita and snacks","Food & Dining","Bars & Nightclubs","Peponi Hotel Restaurant",518.77,1
"Metallica show ticket","Leisure & Entertainment","Concerts & Live Events","Amazon Prime",369.46,1
"Gym monthly fee","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",829.15,1
"Building permit fee","Legal & Professional Services","Licensing & Permits","Munyao Muthama & Kashindi Advocates",684.64,1
"Birthday flowers Mom","Gifts & Donations","Personal Gifts","Smile Train Kenya",723.87,1
"Acupuncture session","Health & Fitness","Alternative Medicine","Smart Gyms",491.37,1
"Plan upgrade fee","Utilities","Mobile Phone Bills","Kenya Nuclear Electricity Board",246.38,1
"Dog food treats","Pets & Animal Care","Pet Food & Treats","Mobile Vet Services Kenya",16.08,1
"Weekend rental","Travel & Vacation","Car Rentals","Expeditions Maasai Safaris",560.54,1
"Airport daily rate","Transportation","Parking Fees","Renault Trucks Africa",629.28,1
"Airport Daily Parking","Transportation","Parking Fees","ACE Mobility",498.41,1
"Alternative Medicine purchase","Health & Fitness","Alternative Medicine","The Nairobi West Hospital",718.04,1
"Gym Memberships purchase","Health & Fitness","Gym Memberships","Daktari Africa",943.8,1
"401k contribution","Financial Expenses","Retirement Savings","Youth Enterprise Development Fund",817.05,1
"Ticket to Ride","Leisure & Entertainment","Board Games & Puzzles","Elite Focus Entertainment Africa",397.37,1
"Faucet drip fixed","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",515.08,1
"Dog walking gig","Income & Earnings","Side Hustle Earnings","Passive Income",74.08,1
"Fidos bath","Pets & Animal Care","Grooming & Pet Spa Services","Pet-Friendly Hotels & Resorts Kenya",853.79,1
"Board game night","Shopping","Toys & Games","Two Rivers Mall",86.37,1
"Portfolio review session","Legal & Professional Services","Financial Advisors","ADR Kenya (Alternative Dispute Resolution)",89.88,1
"Sisters birthday present","Gifts & Donations","Personal Gifts","The Grace Foundation Kenya",423.72,1
"Sallie Mae payment","Education & Learning","Student Loans Repayment","Braeburn Schools",519.2,1
"Building permit fee","Legal & Professional Services","Licensing & Permits","Wills & Estate Planning Kenya",575.93,1
"Social media ads","Business & Work Expenses","Advertising & Marketing","KenInvest (Kenya Investment Authority)",78.07,1
"Pizza Friday night","Food & Dining","Takeout & Delivery","Turtle Bay Beach Club Restaurant",113.47,1
"Wallet replacement","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Repairs",564.64,1
"Curbside pickup fee","Utilities","Waste Management & Recycling","d.light Solar",287.41,1
"Pad Thai takeout","Food & Dining","Takeout & Delivery","Urban Eatery",471.11,1
"Fade and beard","Personal Care & Grooming","Haircuts & Barber Services","Zaron Cosmetics Kenya",167.25,1
"Salons & Beauty Treatments purchase","Personal Care & Grooming","Salons & Beauty Treatments","Orobliss Spa & Salon",551.53,1
"Travel Insurance purchase","Travel & Vacation","Travel Insurance","Heritage Hotels Kenya",743.66,1
